		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	Illiteracy	Without primary	Without toilet	Without electricity	Without water	Overcrowding	Earthen floor	Low salary
									
		(1.083)	(5.004)	(2.757)	(2.906)	(4.953)	(3.566)	(3.042)	(4.660)
20.id_estado	id_estado = 20	3.915*	-8.672	-4.901	-2.741	8.644	-15.84*	2.539	-6.010
		(2.137)	(10.09)	(4.659)	(3.252)	(5.358)	(8.281)	(5.417)	(8.123)
21.id_estado	id_estado = 21	2.991*	-7.273	-2.424	-2.592	5.189	-7.328	-1.519	-1.858
		(1.771)	(7.923)	(3.818)	(2.332)	(3.987)	(6.591)	(3.761)	(6.248)
22.id_estado	id_estado = 22	-2.320	-15.67**	1.751	-1.394	4.464	-10.02*	-3.951	-26.36***
		(1.670)	(7.458)	(3.176)	(1.890)	(3.951)	(5.476)	(3.466)	(6.041)
23.id_estado	id_estado = 23	8.090***	0.902	0.120	-0.886	0.249	16.44**	1.949	14.53*
		(1.293)	(6.670)	(4.146)	(2.668)	(3.604)	(7.424)	(3.621)	(7.753)
24.id_estado	id_estado = 24	-1.212	-12.49	-0.926	1.039	14.62***	-12.04**	3.016	-6.611
		(1.833)	(7.627)	(2.910)	(1.920)	(4.032)	(5.517)	(3.805)	(6.323)
25.id_estado	id_estado = 25	7.597***	9.000*	2.918	-0.388	3.425	8.564	6.574**	12.69**
		(1.095)	(4.599)	(2.774)	(1.679)	(2.485)	(5.230)	(2.635)	(5.634)
26.id_estado	id_estado = 26	-5.397***	-19.96*	-0.802	0.908	6.978	-19.19**	1.005	-14.65
		(1.225)	(11.05)	(4.317)	(3.296)	(5.513)	(9.048)	(6.420)	(12.89)
27.id_estado	id_estado = 27	7.541***	3.639	-1.658	-3.418*	2.174	-1.329	-4.235	10.16***
		(1.083)	(5.401)	(1.704)	(2.074)	(3.043)	(7.305)	(4.637)	(2.966)
28.id_estado	id_estado = 28	5.546***	9.422***	1.763	3.836	3.187	4.678	6.621***	5.947*
		(0.714)	(3.340)	(2.387)	(2.565)	(4.001)	(3.092)	(2.525)	(3.267)
29.id_estado	id_estado = 29	-8.851***	-28.03***	-4.039	-3.582	-0.260	-17.18**	-8.515*	-18.79**
		(2.203)	(8.969)	(4.010)	(2.473)	(4.783)	(6.874)	(4.410)	(7.322)
30.id_estado	id_estado = 30	4.234***	-5.240	-3.123	-2.195	8.683***	-9.730*	-1.558	-2.139
		(1.440)	(6.331)	(3.117)	(1.862)	(3.134)	(5.515)	(2.913)	(4.838)
31.id_estado	id_estado = 31	0.222	-12.74	9.230**	-4.516	1.269	0.532	-3.651	13.89
		(1.994)	(11.35)	(4.293)	(3.135)	(5.936)	(8.580)	(6.139)	(11.87)
32.id_estado	id_estado = 32	-1.306	-4.131	1.377	-1.568*	2.841	-11.69***	-2.094	-3.220
		(0.828)	(4.458)	(1.390)	(0.941)	(2.247)	(2.887)	(2.347)	(3.762)
5.id_estado	id_estado = 5	-0.492***							
		(0.0170)							
Constant	Constant	13.42***	33.17***	1.194	2.852	-3.779	27.41	-0.566	69.78***
		(2.262)	(11.67)	(5.340)	(4.643)	(7.005)	(16.88)	(10.43)	(5.983)
									
Observations		2,314	2,040	2,040	2,040	2,040	2,040	2,040	2,040
R-squared		0.102		0.331	0.017	0.194	0.019	0.381	0.253
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
